,Date,Weekly_Sales
114,2012-04-13,46629261.41
115,2012-04-20,45072529.78
116,2012-04-27,43716798.89
117,2012-05-04,47124197.93
118,2012-05-11,46925878.99
119,2012-05-18,46823939.22
120,2012-05-25,47892463.31
121,2012-06-01,48281649.72
122,2012-06-08,49651171.78
123,2012-06-15,48412110.7
124,2012-06-22,47668284.97
125,2012-06-29,46597112.12
126,2012-07-06,51253021.88
127,2012-07-13,46099732.1
128,2012-07-20,46059543.45
129,2012-07-27,44097154.97
130,2012-08-03,47485899.56
131,2012-08-10,47403451.04
132,2012-08-17,47354452.05
133,2012-08-24,47447323.6
134,2012-08-31,47159639.43
135,2012-09-07,48330059.31
136,2012-09-14,44226038.65
137,2012-09-21,44354547.11
138,2012-09-28,43734899.4
139,2012-10-05,47566639.31
140,2012-10-12,46128514.25
141,2012-10-19,45122410.57
142,2012-10-26,45544116.29
