,Date,Weekly_Sales
0,2010-02-05,49750740.5
1,2010-02-12,48336677.63
2,2010-02-19,48276993.78
3,2010-02-26,43968571.13
4,2010-03-05,46871470.3
5,2010-03-12,45925396.51
6,2010-03-19,44988974.64
7,2010-03-26,44133961.05
8,2010-04-02,50423831.26
9,2010-04-09,47365290.44
10,2010-04-16,45183667.08
11,2010-04-23,44734452.56
12,2010-04-30,43705126.71
13,2010-05-07,48503243.52
14,2010-05-14,45330080.2
15,2010-05-21,45120108.06
16,2010-05-28,47757502.56
17,2010-06-04,50188543.12
18,2010-06-11,47826546.72
19,2010-06-18,47622046.23
20,2010-06-25,46609036.29
21,2010-07-02,48917484.5
22,2010-07-09,47899529.37
23,2010-07-16,46243899.58
24,2010-07-23,44888849.11
25,2010-07-30,44630363.42
26,2010-08-06,48204999.12
27,2010-08-13,46464418.410000004
28,2010-08-20,47060952.92
29,2010-08-27,45909740.44
30,2010-09-03,47194257.61
31,2010-09-10,45634397.84
32,2010-09-17,43080726.51
33,2010-09-24,41358514.41
34,2010-10-01,42239875.87
35,2010-10-08,45102974.23
36,2010-10-15,43149473.45
37,2010-10-22,43066669.52
38,2010-10-29,43602830.95
39,2010-11-05,45781981.89
40,2010-11-12,46124800.83
41,2010-11-19,45125584.18
42,2010-11-26,65821003.24
43,2010-12-03,49909027.88
44,2010-12-10,55666770.39
45,2010-12-17,61820799.85
46,2010-12-24,80931415.6
47,2010-12-31,40432519.0
48,2011-01-07,42775787.77
49,2011-01-14,40673678.04
50,2011-01-21,40654648.03
51,2011-01-28,39599852.99
52,2011-02-04,46153111.12
53,2011-02-11,47336192.79
54,2011-02-18,48716164.12
55,2011-02-25,44125859.84
56,2011-03-04,46980603.74
57,2011-03-11,44627319.4
58,2011-03-18,44872325.97
59,2011-03-25,42876199.18
60,2011-04-01,43458991.19
61,2011-04-08,45887466.8
62,2011-04-15,44973328.14
63,2011-04-22,48676692.06
64,2011-04-29,43530032.78
65,2011-05-06,46861958.29
66,2011-05-13,45446144.82
67,2011-05-20,44046598.01
68,2011-05-27,45293457.04
69,2011-06-03,48771994.18
70,2011-06-10,47669734.66
71,2011-06-17,47447561.77
72,2011-06-24,45884094.58
73,2011-07-01,47578519.5
74,2011-07-08,47859263.78
75,2011-07-15,45515929.92
76,2011-07-22,45274411.39
77,2011-07-29,43683274.28
78,2011-08-05,48015466.97
79,2011-08-12,46249569.21
80,2011-08-19,46917347.62
81,2011-08-26,47416948.45
82,2011-09-02,45376623.27
83,2011-09-09,46763227.53
84,2011-09-16,43793960.08
85,2011-09-23,42718096.73
86,2011-09-30,42195830.81
87,2011-10-07,47211688.36
88,2011-10-14,44374820.3
89,2011-10-21,45818953.44
90,2011-10-28,45855821.05
91,2011-11-04,48655544.3
92,2011-11-11,48474224.75
93,2011-11-18,46438980.56
94,2011-11-25,66593605.26
95,2011-12-02,49390556.49
96,2011-12-09,55561147.7
97,2011-12-16,60085695.94
98,2011-12-23,76998241.31
99,2011-12-30,46042461.04
100,2012-01-06,44955421.95
101,2012-01-13,42023078.48
102,2012-01-20,42080996.56
103,2012-01-27,39834974.67
104,2012-02-03,46085608.09
105,2012-02-10,50009407.92
106,2012-02-17,50197056.96
107,2012-02-24,45771506.57
108,2012-03-02,46861034.97
109,2012-03-09,47480454.11
110,2012-03-16,46901504.94
111,2012-03-23,44993794.45
112,2012-03-30,45272862.02
113,2012-04-06,53502315.87
